,Day,Time,Freq,PCT
1,0,0,0.344444444,1
2,0,0,0.262962963,5
3,0,0,0.406481481,6
4,0,0,0.271296296,7
5,0,0,0.314814815,9
6,0,0,0.332407407,10
7,0,0,0.387962963,13
8,0,0,0.446296296,14
9,0,0,0.237037037,17
10,0,0,0.361111111,18
11,0,0,0.271296296,19
12,0,0,0.327777778,20
13,0,0,0.00462963,21
14,0,0,0.010185185,22
15,0,0,0.446296296,23
16,0,0,0.413888889,24
17,0,0,0.324074074,25
18,0,0,0.17037037,26
19,0,0,0.262037037,28
20,0,0,0.011111111,29
21,0,0,0.291666667,30
22,0,0,0.375,32
23,0,0,0.37037037,33
24,0,0,0.776851852,34
25,0,1,0.800925926,1
26,0,1,0.437962963,5
27,0,1,0.439814815,6
28,0,1,0.422222222,7
29,0,1,0.425,9
30,0,1,0.427777778,10
31,0,1,0.946296296,13
32,0,1,1.126851852,14
33,0,1,0.387962963,17
34,0,1,0.77037037,18
35,0,1,0.787037037,19
36,0,1,0.537037037,20
37,0,1,0.044444444,21
38,0,1,0.039814815,22
39,0,1,0.768518519,23
40,0,1,0.606481481,24
41,0,1,0.684259259,25
42,0,1,0.349074074,26
43,0,1,0.501851852,28
44,0,1,0.409259259,30
45,0,1,0.021296296,31
46,0,1,0.619444444,32
47,0,1,0.381481481,33
48,0,1,0.497222222,34
49,0,2,1.709259259,1
50,0,2,1.413888889,5
51,0,2,0.851851852,6
52,0,2,0.849074074,7
53,0,2,0.788888889,9
54,0,2,0.759259259,10
55,0,2,1.671296296,13
56,0,2,2.6,14
57,0,2,0.815740741,17
58,0,2,1.75462963,18
59,0,2,1.337037037,19
60,0,2,0.928703704,20
61,0,2,0.023148148,22
62,0,2,1.473148148,23
63,0,2,0.892592593,24
64,0,2,1.085185185,25
65,0,2,0.548148148,26
66,0,2,1.037037037,28
67,0,2,0.67962963,30
68,0,2,1.10462963,32
69,0,2,0.862037037,33
70,0,2,0.973148148,34
71,0,3,0.739814815,1
72,0,3,0.394444444,5
73,0,3,0.52962963,6
74,0,3,0.448148148,7
75,0,3,0.712037037,9
76,0,3,0.42962963,10
77,0,3,0.95462963,13
78,0,3,1.669444444,14
79,0,3,0.515740741,17
80,0,3,1.331481481,18
81,0,3,0.916666667,19
82,0,3,0.461111111,20
83,0,3,0.060185185,22
84,0,3,1.275925926,23
85,0,3,0.648148148,24
86,0,3,0.875925926,25
87,0,3,0.353703704,26
88,0,3,0.869444444,28
89,0,3,0.636111111,30
90,0,3,0.927777778,32
91,0,3,0.663888889,33
92,0,3,0.833333333,34
93,1,0,0.324074074,1
94,1,0,0.297222222,5
95,1,0,0.243518519,6
96,1,0,0.175925926,7
97,1,0,0.384259259,9
98,1,0,0.25462963,10
99,1,0,0.391666667,13
100,1,0,0.465740741,14
101,1,0,0.264814815,17
102,1,0,0.327777778,18
103,1,0,0.268518519,19
104,1,0,0.314814815,20
105,1,0,0.000925926,21
106,1,0,0.001851852,22
107,1,0,0.510185185,23
108,1,0,0.378703704,24
109,1,0,0.364814815,25
110,1,0,0.208333333,26
111,1,0,0.326851852,28
112,1,0,0.015740741,29
113,1,0,0.327777778,30
114,1,0,0.431481481,32
115,1,0,0.503703704,33
116,1,0,0.825925926,34
117,1,1,0.802777778,1
118,1,1,0.440740741,5
119,1,1,0.4,6
120,1,1,0.416666667,7
121,1,1,0.505555556,9
122,1,1,0.422222222,10
123,1,1,0.847222222,13
124,1,1,0.932407407,14
125,1,1,0.462962963,17
126,1,1,0.821296296,18
127,1,1,0.814814815,19
128,1,1,0.700925926,20
129,1,1,0.038888889,21
130,1,1,0.037962963,22
131,1,1,0.730555556,23
132,1,1,0.484259259,24
133,1,1,0.662962963,25
134,1,1,0.333333333,26
135,1,1,0.543518519,28
136,1,1,0.444444444,30
137,1,1,0.021296296,31
138,1,1,0.727777778,32
139,1,1,0.42962963,33
140,1,1,0.460185185,34
141,1,2,1.834259259,1
142,1,2,1.394444444,5
143,1,2,0.935185185,6
144,1,2,0.865740741,7
145,1,2,1.069444444,9
146,1,2,1.026851852,10
147,1,2,1.671296296,13
148,1,2,2.875,14
149,1,2,0.776851852,17
150,1,2,1.605555556,18
151,1,2,1.356481481,19
152,1,2,0.935185185,20
153,1,2,0.024074074,22
154,1,2,1.355555556,23
155,1,2,1.086111111,24
156,1,2,1.291666667,25
157,1,2,0.565740741,26
158,1,2,1.225925926,28
159,1,2,0.818518519,30
160,1,2,1.341666667,32
161,1,2,0.882407407,33
162,1,2,0.973148148,34
163,1,3,0.717592593,1
164,1,3,0.683333333,5
165,1,3,0.732407407,6
166,1,3,0.688888889,7
167,1,3,0.939814815,9
168,1,3,0.522222222,10
169,1,3,0.94537037,13
170,1,3,1.832407407,14
171,1,3,0.528703704,17
172,1,3,1.453703704,18
173,1,3,1.030555556,19
174,1,3,0.499074074,20
175,1,3,0.063888889,22
176,1,3,1.377777778,23
177,1,3,0.72962963,24
178,1,3,1.103703704,25
179,1,3,0.452777778,26
180,1,3,0.951851852,28
181,1,3,0.780555556,30
182,1,3,1.201851852,32
183,1,3,0.799074074,33
184,1,3,0.9,34
185,2,0,0.314814815,1
186,2,0,0.293518519,5
187,2,0,0.425925926,6
188,2,0,0.294444444,7
189,2,0,0.026851852,8
190,2,0,0.552777778,9
191,2,0,0.416666667,10
192,2,0,0.405555556,13
193,2,0,0.536111111,14
194,2,0,0.211111111,17
195,2,0,0.446296296,18
196,2,0,0.337962963,19
197,2,0,0.259259259,20
198,2,0,0.000925926,22
199,2,0,0.54537037,23
200,2,0,0.513888889,24
201,2,0,0.375,25
202,2,0,0.196296296,26
203,2,0,0.50462963,28
204,2,0,0.009259259,29
205,2,0,0.298148148,30
206,2,0,0.466666667,32
207,2,0,0.396296296,33
208,2,0,0.50462963,34
209,2,1,0.847222222,1
210,2,1,0.389814815,5
211,2,1,0.448148148,6
212,2,1,0.37962963,7
213,2,1,0.582407407,9
214,2,1,0.450925926,10
215,2,1,1.096296296,13
216,2,1,1.321296296,14
217,2,1,0.467592593,17
218,2,1,0.823148148,18
219,2,1,0.726851852,19
220,2,1,0.585185185,20
221,2,1,0.025925926,21
222,2,1,0.067592593,22
223,2,1,0.975,23
224,2,1,0.656481481,24
225,2,1,0.792592593,25
226,2,1,0.342592593,26
227,2,1,0.015740741,27
228,2,1,0.786111111,28
229,2,1,0.048148148,29
230,2,1,0.483333333,30
231,2,1,0.024074074,31
232,2,1,0.782407407,32
233,2,1,0.517592593,33
234,2,1,0.52962963,34
235,2,2,1.658333333,1
236,2,2,1.392592593,5
237,2,2,0.817592593,6
238,2,2,0.89537037,7
239,2,2,1.225,9
240,2,2,1.041666667,10
241,2,2,1.744444444,13
242,2,2,3.092592593,14
243,2,2,0.72962963,17
244,2,2,1.821296296,18
245,2,2,1.662962963,19
246,2,2,1.137037037,20
247,2,2,0.049074074,22
248,2,2,1.490740741,23
249,2,2,1.14537037,24
250,2,2,1.671296296,25
251,2,2,0.730555556,26
252,2,2,1.248148148,28
253,2,2,0.97962963,30
254,2,2,1.289814815,32
255,2,2,0.914814815,33
256,2,2,1.060185185,34
257,2,3,0.969444444,1
258,2,3,0.711111111,5
259,2,3,0.777777778,6
260,2,3,0.776851852,7
261,2,3,1.130555556,9
262,2,3,0.578703704,10
263,2,3,1.083333333,13
264,2,3,1.934259259,14
265,2,3,0.585185185,17
266,2,3,1.474074074,18
267,2,3,1.001851852,19
268,2,3,0.566666667,20
269,2,3,0.038888889,22
270,2,3,1.366666667,23
271,2,3,0.849074074,24
272,2,3,1.385185185,25
273,2,3,0.659259259,26
274,2,3,1.008333333,28
275,2,3,0.963888889,30
276,2,3,1.436111111,32
277,2,3,0.824074074,33
278,2,3,0.962037037,34
279,3,0,0.463888889,1
280,3,0,0.230555556,5
281,3,0,0.414814815,6
282,3,0,0.365740741,7
283,3,0,0.018518519,8
284,3,0,0.475925926,9
285,3,0,0.474074074,10
286,3,0,0.049074074,11
287,3,0,0.025,12
288,3,0,0.488888889,13
289,3,0,0.630555556,14
290,3,0,0.032407407,15
291,3,0,0.284259259,17
292,3,0,0.641666667,18
293,3,0,0.452777778,19
294,3,0,0.333333333,20
295,3,0,0.02037037,21
296,3,0,0.025,22
297,3,0,0.482407407,23
298,3,0,0.388888889,24
299,3,0,0.461111111,25
300,3,0,0.290740741,26
301,3,0,0.489814815,28
302,3,0,0.02037037,29
303,3,0,0.402777778,30
304,3,0,0.564814815,32
305,3,0,0.466666667,33
306,3,0,0.512962963,34
307,3,1,0.791666667,1
308,3,1,0.411111111,5
309,3,1,0.428703704,6
310,3,1,0.390740741,7
311,3,1,0.046296296,8
312,3,1,0.526851852,9
313,3,1,0.448148148,10
314,3,1,0.022222222,11
315,3,1,0.956481481,13
316,3,1,1.112962963,14
317,3,1,0.059259259,15
318,3,1,0.059259259,16
319,3,1,0.502777778,17
320,3,1,0.82037037,18
321,3,1,0.70462963,19
322,3,1,0.492592593,20
323,3,1,0.025,21
324,3,1,0.062962963,22
325,3,1,0.961111111,23
326,3,1,0.712037037,24
327,3,1,0.901851852,25
328,3,1,0.45462963,26
329,3,1,0.038888889,27
330,3,1,0.815740741,28
331,3,1,0.038888889,29
332,3,1,0.52962963,30
333,3,1,0.027777778,31
334,3,1,0.763888889,32
335,3,1,0.599074074,33
336,3,1,0.555555556,34
337,3,2,1.887037037,1
338,3,2,1.253703704,5
339,3,2,0.948148148,6
340,3,2,0.918518519,7
341,3,2,0.994444444,9
342,3,2,0.950925926,10
343,3,2,1.976851852,13
344,3,2,3.062037037,14
